round,train_loss_mean,test_loss,test_acc
1,1.9401658229151013,1.2844153562545777,0.7382
2,0.7134994033534648,0.4849067546367645,0.866
3,0.42612938342963236,0.3547687391042709,0.8976
4,0.3493088935265096,0.30853293550014493,0.9119
5,0.30783167225703345,0.28191627407073977,0.9182
6,0.27857763029761234,0.25907504439353946,0.9246
7,0.25044638354141835,0.23709391421079637,0.9305
8,0.2279593495304807,0.21834726454019546,0.9378
9,0.20749234540340633,0.2037648866891861,0.941
10,0.19233685390929045,0.19408255167603491,0.9418
11,0.1760092844902459,0.17971553083062172,0.9461
12,0.16093837190419436,0.17214902768731116,0.9483
13,0.14988574054944565,0.16615939182043077,0.9504
14,0.13693999392730263,0.15578539461493493,0.9523
15,0.1280192505347274,0.14958260228335857,0.955
16,0.1176470422572693,0.14490922910273074,0.9567
17,0.10958830908461772,0.13956878582537174,0.9596
18,0.10067829016548724,0.13439789381325246,0.9596
19,0.09261193485551719,0.1330318045347929,0.9601
20,0.0859912917021883,0.1277537899553776,0.9619
21,0.0799513561907619,0.1260944204851985,0.9626
22,0.0732761443473233,0.12226444446593523,0.964
23,0.06731856499909092,0.12123638838902116,0.9633
24,0.06220957041931165,0.11830884250253439,0.9646
25,0.05788128517205053,0.11592519740909338,0.9649
26,0.05389219432106336,0.11551225927583873,0.9654
27,0.04928912878972755,0.11241012782678009,0.9661
28,0.045001392847645275,0.11303616368845106,0.9676
29,0.04236203103456489,0.11056225344594568,0.9674
30,0.03871651879024408,0.10997012595254928,0.9675
